Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.62788532653835E-11,9.73235236285258E-05,0.0175394273433221,0,0,0,0.0702507424348534,4.1064934681457E-05,-3.87391822782159E-11,1.7943949183246E-17,2.00036992854258E-05,1.97807200891721E-09,5.9997945685143E-05,0,0,0,0,0,0,package://Spider_URDF/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Spider_URDF/meshes/base_link.STL,,Base Down-1;Base up-1;SG90 - Micro Servo 9g - Tower Pro.1-1;SG90 - Micro Servo 9g - Tower Pro.1-2;SG90 - Micro Servo 9g - Tower Pro.1-3;SG90 - Micro Servo 9g - Tower Pro.1-4,Global_Coordinate_System,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_L1_J1,0.0236084991747013,-0.00895220380238049,-0.0145197977540955,0,0,0,0.0133962011006856,1.20686948252017E-06,1.56565090348018E-07,7.18568034010356E-09,1.49762663172862E-06,3.14978901358432E-10,6.67655934530738E-07,0,0,0,0,0,0,package://Spider_URDF/meshes/Link_L1_J1.STL,0.796078431372549,0.823529411764706,0.933333333333333,1,0,0,0,0,0,0,package://Spider_URDF/meshes/Link_L1_J1.STL,,coxa_left-3;SG90 - Micro Servo 9g - Tower Pro.1-8;Hold-4,L1_J1_Coordinate_System,L1_J1_Axes,L1_J1,revolute,0.0351,-0.03565,0.037075,0,0,0,base_link,0,0,1,0.2,6,-0.785,0.785,,,0.1,0.01,,,,
Link_L1_J2,0.0298997060818792,0.00785498012440974,0.000646483871221695,0,0,0,0.00732087514298049,1.67786263058952E-06,5.33432537441025E-08,-3.92403361839726E-08,1.83532771060218E-06,1.17257255253697E-08,3.33399148466329E-06,0,0,0,0,0,0,package://Spider_URDF/meshes/Link_L1_J2.STL,0.796078431372549,0.823529411764706,0.933333333333333,1,0,0,0,0,0,0,package://Spider_URDF/meshes/Link_L1_J2.STL,,Fumer-1,L1_J2_Coordinate_System,L1_J2_Axes,L1_J2,revolute,0.021447,-0.02574,-0.009775,0,0,0,Link_L1_J1,-0.28533,-0.95843,0,0.2,6,-1.57,1.57,,,0.1,0.01,,,,
Link_L1_J3,0.011236707190984,0.0132879872009395,-0.0094761726320501,0,0,0,0.0146889846273082,3.19089185153446E-06,3.48026946583282E-07,1.56085331599813E-06,4.15458318425721E-06,-5.56777151792972E-07,1.4023032286676E-06,0,0,0,0,0,0,package://Spider_URDF/meshes/Link_L1_J3.STL,1,1,1,1,0,0,0,0,0,0,package://Spider_URDF/meshes/Link_L1_J3.STL,,SG90 - Micro Servo 9g - Tower Pro.1-9;tibia right-2;Hold-8,L1_J3_Coordinate_System,L1_J3_Axes,L1_J3,revolute,0.052698,-0.015689,0.0013453,0,0,0,Link_L1_J2,-0.28533,-0.95843,0,0.2,6,0,2.61,,,0.1,0.01,,,,
Link_L2_J1,0.0146162013375729,0.0205938212771885,-0.0145229330720895,0,0,0,0.0133865404147975,1.44119689944121E-06,-1.94468483659966E-07,6.56465802540795E-09,1.2614433861928E-06,3.45736324596811E-09,6.66471494600889E-07,0,0,0,0,0,0,package://Spider_URDF/meshes/Link_L2_J1.STL,0.796078431372549,0.823529411764706,0.933333333333333,1,0,0,0,0,0,0,package://Spider_URDF/meshes/Link_L2_J1.STL,,coxa_right-1;SG90 - Micro Servo 9g - Tower Pro.1-6;Hold-3,L2_J1_Coordinate_System,L2_J1_Axes,L2_J1,revolute,0.0351,0.03615,0.037075,0,0,0,base_link,0,0,1,0.2,6,-0.785,0.785,,,0.1,0.01,,,,
Link_L2_J2,0.0283628440004605,0.00851255104162714,-0.00956856211318974,0,0,0,0.00732087514249103,1.86174956435334E-06,1.36685272354825E-08,3.60511163736236E-07,1.870023438188E-06,4.35324097134465E-07,3.11540882311625E-06,0,0,0,0,0,0,package://Spider_URDF/meshes/Link_L2_J2.STL,0.796078431372549,0.823529411764706,0.933333333333333,1,0,0,0,0,0,0,package://Spider_URDF/meshes/Link_L2_J2.STL,,Fumer-2,L2_J2_Coordinate_System,L2_J2_Axes,L2_J2,revolute,0.0034744,0.033323,-0.009775,0,0,0,Link_L2_J1,-0.77083,0.63704,0,0.2,6,-1.57,1.57,,,0.1,0.01,,,,
Link_L2_J3,0.010497874188933,-0.0123221701771937,-0.0114276292693824,0,0,0,0.0146889862433448,3.99463851303802E-06,-2.78949546814305E-07,-7.75103488743065E-07,3.98941574883212E-06,-8.15632010992575E-07,7.63724120488949E-07,0,0,0,0,0,0,package://Spider_URDF/meshes/Link_L2_J3.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://Spider_URDF/meshes/Link_L2_J3.STL,,tibia Left-1;SG90 - Micro Servo 9g - Tower Pro.1-12;Hold-7,L2_J3_Coordinate_System,L2_J3_Axes,L2_J3,revolute,0.032659,0.039518,-0.019917,0,0,0,Link_L2_J2,-0.77083,0.63704,0,0.2,6,0,2.61,,,0.1,0.01,,,,
Link_L3_J1,-0.0174673700669978,-0.0182381386758927,-0.0145229332084455,0,0,0,0.0133865400425874,1.3811634653099E-06,-2.1214428685399E-07,-6.99925547247971E-09,1.32147675078088E-06,-2.46147206539854E-09,6.6647149482376E-07,0,0,0,0,0,0,package://Spider_URDF/meshes/Link_L3_J1.STL,0.796078431372549,0.823529411764706,0.933333333333333,1,0,0,0,0,0,0,package://Spider_URDF/meshes/Link_L3_J1.STL,,coxa_right-3;SG90 - Micro Servo 9g - Tower Pro.1-7;Hold-1,L3_J1_Coordinate_System,L3_J1_Axes,L3_J1,revolute,-0.0351,-0.03565,0.037075,0,0,0,base_link,0,0,1,0.2,6,-0.785,0.785,,,0.1,0.01,,,,
Link_L3_J2,-0.0254780570539758,-0.00134389311220551,-0.0174692197351079,0,0,0,0.00732087514249105,2.15121262943305E-06,2.68786395188291E-07,-6.16250406450523E-07,2.09287754908398E-06,-5.5688235487075E-07,2.60309164714055E-06,0,0,0,0,0,0,package://Spider_URDF/meshes/Link_L3_J2.STL,0.796078431372549,0.823529411764706,0.933333333333333,1,0,0,0,0,0,0,package://Spider_URDF/meshes/Link_L3_J2.STL,,Fumer-4,L3_J2_Coordinate_System,L3_J2_Axes,L3_J2,revolute,-0.0083044,-0.032458,-0.009775,0,0,0,Link_L3_J1,0.66952,-0.74279,0,0.2,6,-1.57,1.57,,,0.1,0.01,,,,
Link_L3_J3,-0.0130520109599679,0.00969745551706247,-0.0113241494806745,0,0,0,0.014688985075973,4.09291205022552E-06,-1.51469586500661E-07,-4.53905467860851E-07,4.13442912628089E-06,-5.3353639453981E-07,5.20437122961728E-07,0,0,0,0,0,0,package://Spider_URDF/meshes/Link_L3_J3.STL,1,1,1,1,0,0,0,0,0,0,package://Spider_URDF/meshes/Link_L3_J3.STL,,SG90 - Micro Servo 9g - Tower Pro.1-10;tibia Left-2;Hold-5,L3_J3_Coordinate_System,L3_J3_Axes,L3_J3,revolute,-0.030652,-0.027628,-0.036362,0,0,0,Link_L3_J2,0.66952,-0.74279,0,0.2,6,0,2.61,,,0.1,0.01,,,,
Link_L4_J1,-0.0130255561769351,0.0216295665016213,-0.0145198006848956,0,0,0,0.013396200197483,1.47009392807998E-06,1.78212966772561E-07,-5.8435693590389E-09,1.23440178640792E-06,4.19385859642403E-09,6.6765593311769E-07,0,0,0,0,0,0,package://Spider_URDF/meshes/Link_L4_J1.STL,0.796078431372549,0.823529411764706,0.933333333333333,1,0,0,0,0,0,0,package://Spider_URDF/meshes/Link_L4_J1.STL,,coxa_left-2;SG90 - Micro Servo 9g - Tower Pro.1-5;Hold-2,L4_J1_Coordinate_System,L4_J1_Axes,L4_J1,revolute,-0.0351,0.03615,0.037075,0,0,0,base_link,0,0,1,0.2,6,-0.785,0.785,,,0.1,0.01,,,,
Link_L4_J2,-0.0285748842075759,0.0119516342248537,-0.00301765758413121,0,0,0,0.00732087514434877,1.79379874749176E-06,8.03369845981167E-08,-1.09782453034998E-07,1.74022865158099E-06,1.55050370775973E-07,3.31315442660782E-06,0,0,0,0,0,0,package://Spider_URDF/meshes/Link_L4_J2.STL,0.796078431372549,0.823529411764706,0.933333333333333,1,0,0,0,0,0,0,package://Spider_URDF/meshes/Link_L4_J2.STL,,Fumer-3,L4_J2_Coordinate_System,L4_J2_Axes,L4_J2,revolute,-0.00095039,0.03349,-0.009775,0,0,0,Link_L4_J1,0.8167,0.57707,0,0.2,6,-1.57,1.57,,,0.1,0.01,,,,
Link_L4_J3,-0.0164174952404414,-0.00439059956908644,-0.0101892376135697,0,0,0,0.0146889837854071,4.00212926058491E-06,3.92008653844899E-07,-7.51205619184213E-07,3.68636109270746E-06,1.22049795171847E-06,1.05928781709561E-06,0,0,0,0,0,0,package://Spider_URDF/meshes/Link_L4_J3.STL,1,1,1,1,0,0,0,0,0,0,package://Spider_URDF/meshes/Link_L4_J3.STL,,SG90 - Micro Servo 9g - Tower Pro.1-11;tibia right-1;Hold-6,L4_J3_Coordinate_System,L4_J3_Axes,L4_J3,revolute,-0.031531,0.044625,-0.0062809,0,0,0,Link_L4_J2,0.8167,0.57707,0,0.2,6,0,2.61,,,0.1,0.01,,,,
